GN	logFC	AveExpr	t	P.Value	adj.P.Val	B	Significance
H2AFV	-0.795	5.096	-6.121	2.52E-04	4.82E-03	0.383	Downregulated (FDR < 0.01, log2FC < -0.6)
CASP1	0.704	5.031	6.107	2.56E-04	4.88E-03	0.365	Upregulated (FDR < 0.01, log2FC > 0.6)
MOV10	0.704	4.628	6.103	2.57E-04	4.88E-03	0.360	Upregulated (FDR < 0.01, log2FC > 0.6)
WDHD1	-0.720	4.593	-6.087	2.62E-04	4.94E-03	0.340	Downregulated (FDR < 0.01, log2FC < -0.6)
TACC3	-0.935	4.783	-6.083	2.63E-04	4.94E-03	0.337	Downregulated (FDR < 0.01, log2FC < -0.6)
ADAR	0.749	5.061	6.072	2.66E-04	4.97E-03	0.322	Upregulated (FDR < 0.01, log2FC > 0.6)
NUF2	-0.907	4.032	-6.075	2.65E-04	4.97E-03	0.327	Downregulated (FDR < 0.01, log2FC < -0.6)
DDX60L	0.838	4.757	6.063	2.69E-04	4.99E-03	0.311	Upregulated (FDR < 0.01, log2FC > 0.6)
MCL1	0.707	4.625	6.053	2.72E-04	5.03E-03	0.299	Upregulated (FDR < 0.01, log2FC > 0.6)
CASP4	0.998	4.684	6.048	2.73E-04	5.03E-03	0.293	Upregulated (FDR < 0.01, log2FC > 0.6)
EHD4	0.847	4.806	6.045	2.74E-04	5.03E-03	0.289	Upregulated (FDR < 0.01, log2FC > 0.6)
CD300A	-0.694	4.056	-6.040	2.76E-04	5.04E-03	0.283	Downregulated (FDR < 0.01, log2FC < -0.6)
UBA7	0.742	4.525	6.034	2.78E-04	5.05E-03	0.277	Upregulated (FDR < 0.01, log2FC > 0.6)
SPN	-0.690	5.163	-6.006	2.87E-04	5.15E-03	0.242	Downregulated (FDR < 0.01, log2FC < -0.6)
KIF22	-0.722	3.876	-6.009	2.86E-04	5.15E-03	0.245	Downregulated (FDR < 0.01, log2FC < -0.6)
TYMS	-0.804	3.710	-6.010	2.86E-04	5.15E-03	0.246	Downregulated (FDR < 0.01, log2FC < -0.6)
DHRS9	-0.832	4.815	-5.980	2.95E-04	5.28E-03	0.210	Downregulated (FDR < 0.01, log2FC < -0.6)
H1FX	-0.676	4.882	-5.974	2.98E-04	5.30E-03	0.202	Downregulated (FDR < 0.01, log2FC < -0.6)
TIMM8B	-0.698	5.093	-5.956	3.04E-04	5.38E-03	0.180	Downregulated (FDR < 0.01, log2FC < -0.6)
SRP9	-0.769	5.039	-5.953	3.05E-04	5.38E-03	0.176	Downregulated (FDR < 0.01, log2FC < -0.6)
THYN1	-0.739	4.882	-5.923	3.15E-04	5.55E-03	0.139	Downregulated (FDR < 0.01, log2FC < -0.6)
IMPA2	-0.677	4.984	-5.910	3.20E-04	5.59E-03	0.123	Downregulated (FDR < 0.01, log2FC < -0.6)
LRRC20	-0.781	3.443	-5.912	3.19E-04	5.59E-03	0.125	Downregulated (FDR < 0.01, log2FC < -0.6)
NARF	-1.079	3.864	-5.900	3.24E-04	5.62E-03	0.111	Downregulated (FDR < 0.01, log2FC < -0.6)
ATAD2	-0.730	4.785	-5.872	3.35E-04	5.79E-03	0.075	Downregulated (FDR < 0.01, log2FC < -0.6)
ECM29	0.772	4.323	5.864	3.38E-04	5.81E-03	0.066	Upregulated (FDR < 0.01, log2FC > 0.6)
KPNA1	0.669	4.250	5.862	3.38E-04	5.81E-03	0.063	Upregulated (FDR < 0.01, log2FC > 0.6)
PARP10	0.862	4.093	5.856	3.41E-04	5.83E-03	0.055	Upregulated (FDR < 0.01, log2FC > 0.6)
HINT3	0.855	4.269	5.844	3.46E-04	5.85E-03	0.040	Upregulated (FDR < 0.01, log2FC > 0.6)
MIF4GD	-0.815	4.962	-5.842	3.46E-04	5.85E-03	0.038	Downregulated (FDR < 0.01, log2FC < -0.6)
EIF4H	-0.865	5.140	-5.843	3.46E-04	5.85E-03	0.040	Downregulated (FDR < 0.01, log2FC < -0.6)
ACSL5	0.727	3.894	5.828	3.52E-04	5.92E-03	0.021	Upregulated (FDR < 0.01, log2FC > 0.6)
MGMT	-0.716	5.575	-5.825	3.53E-04	5.92E-03	0.017	Downregulated (FDR < 0.01, log2FC < -0.6)
FADS2	-0.826	5.160	-5.815	3.57E-04	5.97E-03	0.004	Downregulated (FDR < 0.01, log2FC < -0.6)
FCER1G	0.689	5.751	5.803	3.62E-04	6.03E-03	-0.011	Upregulated (FDR < 0.01, log2FC > 0.6)
ACY1	-0.659	4.850	-5.799	3.64E-04	6.03E-03	-0.015	Downregulated (FDR < 0.01, log2FC < -0.6)
NUCB1	0.691	5.066	5.776	3.74E-04	6.15E-03	-0.044	Upregulated (FDR < 0.01, log2FC > 0.6)
UHRF1	-0.715	4.181	-5.776	3.74E-04	6.15E-03	-0.044	Downregulated (FDR < 0.01, log2FC < -0.6)
RNASEH2A	-0.652	4.439	-5.769	3.77E-04	6.17E-03	-0.054	Downregulated (FDR < 0.01, log2FC < -0.6)
CBX4	-0.669	4.474	-5.767	3.78E-04	6.17E-03	-0.056	Downregulated (FDR < 0.01, log2FC < -0.6)
GLOD4	-0.682	5.294	-5.754	3.84E-04	6.21E-03	-0.072	Downregulated (FDR < 0.01, log2FC < -0.6)
VAT1	-0.696	4.425	-5.755	3.83E-04	6.21E-03	-0.072	Downregulated (FDR < 0.01, log2FC < -0.6)
TK1	-0.703	4.761	-5.741	3.90E-04	6.28E-03	-0.089	Downregulated (FDR < 0.01, log2FC < -0.6)
ZWINT	-0.990	4.714	-5.732	3.94E-04	6.33E-03	-0.101	Downregulated (FDR < 0.01, log2FC < -0.6)
PREPL	-0.706	4.401	-5.706	4.06E-04	6.50E-03	-0.133	Downregulated (FDR < 0.01, log2FC < -0.6)
POLD3	-0.730	4.825	-5.698	4.10E-04	6.54E-03	-0.143	Downregulated (FDR < 0.01, log2FC < -0.6)
H2AFX	-0.955	4.764	-5.695	4.11E-04	6.54E-03	-0.148	Downregulated (FDR < 0.01, log2FC < -0.6)
RYDEN	0.970	5.137	5.691	4.13E-04	6.54E-03	-0.152	Upregulated (FDR < 0.01, log2FC > 0.6)
PEX19	-0.686	4.266	-5.688	4.15E-04	6.55E-03	-0.157	Downregulated (FDR < 0.01, log2FC < -0.6)
CLK3	0.666	3.817	5.671	4.23E-04	6.65E-03	-0.178	Upregulated (FDR < 0.01, log2FC > 0.6)
UBE2J1	0.836	4.104	5.664	4.27E-04	6.68E-03	-0.187	Upregulated (FDR < 0.01, log2FC > 0.6)
TMX2	0.699	4.399	5.635	4.41E-04	6.86E-03	-0.224	Upregulated (FDR < 0.01, log2FC > 0.6)
ACOT9	0.641	4.879	5.635	4.41E-04	6.86E-03	-0.224	Upregulated (FDR < 0.01, log2FC > 0.6)
SLC9A3R1	-0.669	4.846	-5.597	4.62E-04	7.16E-03	-0.273	Downregulated (FDR < 0.01, log2FC < -0.6)
LPXN	1.298	3.849	5.582	4.71E-04	7.26E-03	-0.293	Upregulated (FDR < 0.01, log2FC > 0.6)
ETNK1	0.730	5.597	5.580	4.72E-04	7.26E-03	-0.295	Upregulated (FDR < 0.01, log2FC > 0.6)
PLA2G15	-0.679	3.994	-5.563	4.81E-04	7.37E-03	-0.316	Downregulated (FDR < 0.01, log2FC < -0.6)
TCEA1	-0.705	4.966	-5.560	4.83E-04	7.37E-03	-0.321	Downregulated (FDR < 0.01, log2FC < -0.6)
SLC2A1	-0.786	4.528	-5.558	4.84E-04	7.37E-03	-0.324	Downregulated (FDR < 0.01, log2FC < -0.6)
RRM1	-0.679	4.995	-5.549	4.89E-04	7.39E-03	-0.335	Downregulated (FDR < 0.01, log2FC < -0.6)
RNASEH2B	-0.715	5.766	-5.551	4.88E-04	7.39E-03	-0.332	Downregulated (FDR < 0.01, log2FC < -0.6)
ECM1	-0.634	3.962	-5.531	5.00E-04	7.53E-03	-0.358	Downregulated (FDR < 0.01, log2FC < -0.6)
RAB13	0.680	5.555	5.525	5.04E-04	7.56E-03	-0.366	Upregulated (FDR < 0.01, log2FC > 0.6)
EIF4A1	0.649	5.041	5.516	5.09E-04	7.61E-03	-0.377	Upregulated (FDR < 0.01, log2FC > 0.6)
LAIR1	0.689	5.450	5.513	5.11E-04	7.62E-03	-0.381	Upregulated (FDR < 0.01, log2FC > 0.6)
DAB2	0.909	4.327	5.488	5.26E-04	7.79E-03	-0.413	Upregulated (FDR < 0.01, log2FC > 0.6)
BUB1B	-0.963	3.628	-5.489	5.26E-04	7.79E-03	-0.412	Downregulated (FDR < 0.01, log2FC < -0.6)
ACSL4	0.625	5.114	5.475	5.35E-04	7.89E-03	-0.431	Upregulated (FDR < 0.01, log2FC > 0.6)
GPA33	-0.931	3.278	-5.458	5.46E-04	8.02E-03	-0.453	Downregulated (FDR < 0.01, log2FC < -0.6)
FAM107B	-0.681	4.912	-5.381	6.00E-04	8.79E-03	-0.554	Downregulated (FDR < 0.01, log2FC < -0.6)
BCAM	-0.786	4.000	-5.371	6.07E-04	8.86E-03	-0.567	Downregulated (FDR < 0.01, log2FC < -0.6)
SYNJ1	0.735	4.298	5.348	6.24E-04	9.00E-03	-0.597	Upregulated (FDR < 0.01, log2FC > 0.6)
UBAP2L	-0.602	5.779	-5.342	6.29E-04	9.00E-03	-0.605	Downregulated (FDR < 0.01, log2FC < -0.6)
PLIN2	-0.647	4.320	-5.353	6.21E-04	9.00E-03	-0.591	Downregulated (FDR < 0.01, log2FC < -0.6)
OXR1	-0.678	3.805	-5.342	6.29E-04	9.00E-03	-0.605	Downregulated (FDR < 0.01, log2FC < -0.6)
GSN	-0.687	5.537	-5.343	6.29E-04	9.00E-03	-0.605	Downregulated (FDR < 0.01, log2FC < -0.6)
ANLN	-0.705	4.255	-5.351	6.22E-04	9.00E-03	-0.594	Downregulated (FDR < 0.01, log2FC < -0.6)
SMG7	0.695	4.827	5.321	6.46E-04	9.21E-03	-0.633	Upregulated (FDR < 0.01, log2FC > 0.6)
CEP131	-0.632	3.960	-5.277	6.82E-04	9.69E-03	-0.692	Downregulated (FDR < 0.01, log2FC < -0.6)
APLP2	-0.715	4.563	-5.273	6.85E-04	9.70E-03	-0.696	Downregulated (FDR < 0.01, log2FC < -0.6)
NUP153	0.736	4.341	5.268	6.89E-04	9.73E-03	-0.703	Upregulated (FDR < 0.01, log2FC > 0.6)
ZC3HAV1	0.682	5.085	5.257	6.99E-04	9.80E-03	-0.718	Upregulated (FDR < 0.01, log2FC > 0.6)
PAFAH1B3	-0.903	4.264	-5.257	6.99E-04	9.80E-03	-0.718	Downregulated (FDR < 0.01, log2FC < -0.6)
VIM	0.722	4.790	5.251	7.04E-04	9.84E-03	-0.726	Upregulated (FDR < 0.01, log2FC > 0.6)
HSPB1	-0.796	5.048	-5.241	7.13E-04	9.93E-03	-0.739	Downregulated (FDR < 0.01, log2FC < -0.6)
ACO1	-0.638	4.610	-5.237	7.17E-04	9.96E-03	-0.746	Downregulated (FDR < 0.01, log2FC < -0.6)
GINS2	-0.679	4.692	-5.215	7.36E-04	1.02E-02	-0.774	Not significant
DDX24	0.602	4.890	5.198	7.52E-04	1.03E-02	-0.797	Not significant
PDLIM2	-0.598	4.180	-5.198	7.52E-04	1.03E-02	-0.798	Not significant
CD151	-0.647	4.574	-5.202	7.48E-04	1.03E-02	-0.792	Not significant
CYTH4	0.724	4.398	5.175	7.74E-04	1.06E-02	-0.828	Not significant
NLN	0.603	5.546	5.165	7.84E-04	1.07E-02	-0.842	Not significant
KDM4A	-0.619	4.299	-5.147	8.02E-04	1.09E-02	-0.867	Not significant
POLE4	-0.666	4.643	-5.142	8.06E-04	1.09E-02	-0.872	Not significant
CRABP1	-0.728	5.219	-5.141	8.08E-04	1.09E-02	-0.874	Not significant
EPB41L3	1.233	4.718	5.126	8.23E-04	1.11E-02	-0.894	Not significant
CXorf38	0.743	4.743	5.115	8.34E-04	1.11E-02	-0.909	Not significant
HDAC5	-1.010	4.332	-5.118	8.32E-04	1.11E-02	-0.906	Not significant
TIMP3	-1.281	4.057	-5.116	8.34E-04	1.11E-02	-0.908	Not significant
CORO1A	-0.594	5.011	-5.112	8.37E-04	1.11E-02	-0.913	Not significant
SERPINB10	-0.597	4.816	-5.102	8.48E-04	1.12E-02	-0.926	Not significant
NUP160	0.664	4.529	5.093	8.58E-04	1.13E-02	-0.939	Not significant
KIF11	-0.709	4.204	-5.081	8.71E-04	1.15E-02	-0.955	Not significant
HIST1H1B	-0.708	5.283	-5.063	8.91E-04	1.17E-02	-0.980	Not significant
RTCB	0.572	5.386	5.055	9.01E-04	1.18E-02	-0.991	Not significant
RXRA	-0.592	4.519	-5.055	9.00E-04	1.18E-02	-0.990	Not significant
RAB24	0.685	5.026	5.046	9.10E-04	1.18E-02	-1.002	Not significant
PLOD1	-0.623	4.637	-5.047	9.10E-04	1.18E-02	-1.002	Not significant
FLOT2	-0.643	4.646	-5.045	9.12E-04	1.18E-02	-1.005	Not significant
SAMHD1	0.707	5.069	5.015	9.48E-04	1.22E-02	-1.046	Not significant
MOB3A	-0.566	4.118	-5.009	9.55E-04	1.23E-02	-1.054	Not significant
IFITM2	1.301	4.382	4.997	9.69E-04	1.24E-02	-1.070	Not significant
PFN1	-0.627	5.106	-4.999	9.67E-04	1.24E-02	-1.067	Not significant
GTPBP2	0.848	3.999	4.983	9.87E-04	1.26E-02	-1.090	Not significant
LPCAT2	0.625	4.749	4.973	1.00E-03	1.27E-02	-1.104	Not significant
FKBP5	0.602	4.942	4.964	1.01E-03	1.27E-02	-1.115	Not significant
USP15	0.591	5.268	4.969	1.01E-03	1.27E-02	-1.109	Not significant
KDM5C	-0.566	3.871	-4.963	1.01E-03	1.27E-02	-1.117	Not significant
RHOA	-0.575	4.948	-4.963	1.01E-03	1.27E-02	-1.116	Not significant
CDCA8	-0.618	3.705	-4.968	1.01E-03	1.27E-02	-1.110	Not significant
TANK	0.753	4.130	4.959	1.02E-03	1.27E-02	-1.123	Not significant
BID	0.610	3.512	4.956	1.02E-03	1.27E-02	-1.127	Not significant
NXN	-0.582	4.054	-4.946	1.03E-03	1.28E-02	-1.140	Not significant
NAPRT	-0.628	4.493	-4.946	1.03E-03	1.28E-02	-1.140	Not significant
DHX37	0.587	4.315	4.941	1.04E-03	1.28E-02	-1.147	Not significant
P4HA1	-0.586	4.819	-4.928	1.06E-03	1.30E-02	-1.165	Not significant
SEPT6	-0.572	4.720	-4.924	1.06E-03	1.31E-02	-1.171	Not significant
DEF6	-0.608	4.150	-4.919	1.07E-03	1.31E-02	-1.177	Not significant
QPRT	-0.672	5.321	-4.914	1.08E-03	1.31E-02	-1.184	Not significant
GLTSCR2	0.618	4.072	4.909	1.08E-03	1.32E-02	-1.191	Not significant
SDE2	0.561	4.635	4.901	1.10E-03	1.33E-02	-1.203	Not significant
NAB2	0.559	4.659	4.902	1.10E-03	1.33E-02	-1.201	Not significant
CORO1B	-0.566	5.165	-4.893	1.11E-03	1.34E-02	-1.214	Not significant
MASTL	0.888	4.432	4.886	1.12E-03	1.34E-02	-1.223	Not significant
TRPM2	0.741	4.604	4.879	1.13E-03	1.35E-02	-1.234	Not significant
NUDCD2	-0.564	4.168	-4.873	1.14E-03	1.36E-02	-1.241	Not significant
PRIM1	-0.640	4.985	-4.874	1.14E-03	1.36E-02	-1.239	Not significant
LGALS9	0.568	4.375	4.867	1.15E-03	1.36E-02	-1.250	Not significant
SH3KBP1	-0.580	4.158	-4.861	1.15E-03	1.37E-02	-1.258	Not significant
HMG20B	-0.805	4.062	-4.858	1.16E-03	1.37E-02	-1.262	Not significant
FLI1	-0.722	4.660	-4.855	1.16E-03	1.37E-02	-1.267	Not significant
FMNL1	0.562	5.103	4.850	1.17E-03	1.38E-02	-1.274	Not significant
EHD1	0.809	4.953	4.843	1.18E-03	1.39E-02	-1.283	Not significant
SIPA1	-0.586	3.965	-4.836	1.19E-03	1.40E-02	-1.293	Not significant
SVBP	-0.819	3.922	-4.827	1.21E-03	1.41E-02	-1.306	Not significant
RRP12	0.571	4.776	4.816	1.23E-03	1.42E-02	-1.321	Not significant
RB1	0.784	4.709	4.810	1.23E-03	1.43E-02	-1.330	Not significant
NUCB2	-0.623	4.882	-4.806	1.24E-03	1.43E-02	-1.334	Not significant
FAM129A	0.755	4.705	4.798	1.25E-03	1.45E-02	-1.346	Not significant
UBXN6	-0.572	3.963	-4.795	1.26E-03	1.45E-02	-1.350	Not significant
POLD2	-0.549	4.668	-4.785	1.28E-03	1.46E-02	-1.364	Not significant
VCL	-0.538	4.861	-4.775	1.29E-03	1.48E-02	-1.378	Not significant
TRIM22	1.503	4.160	4.767	1.31E-03	1.48E-02	-1.390	Not significant
PUM3	0.641	4.915	4.766	1.31E-03	1.48E-02	-1.390	Not significant
NOP9	0.546	4.556	4.765	1.31E-03	1.48E-02	-1.393	Not significant
ATP2B4	-0.563	4.466	-4.763	1.31E-03	1.48E-02	-1.394	Not significant
GMFG	-0.633	4.363	-4.771	1.30E-03	1.48E-02	-1.384	Not significant
NAIP	0.556	4.276	4.757	1.32E-03	1.49E-02	-1.404	Not significant
NDE1	-0.571	4.224	-4.757	1.32E-03	1.49E-02	-1.404	Not significant
DNAJA1	0.599	4.523	4.742	1.35E-03	1.51E-02	-1.424	Not significant
SMG9	0.637	3.661	4.736	1.36E-03	1.52E-02	-1.434	Not significant
SEPT5	-0.644	4.525	-4.734	1.36E-03	1.52E-02	-1.436	Not significant
CPD	-0.806	4.291	-4.736	1.36E-03	1.52E-02	-1.434	Not significant
GPATCH4	0.553	5.080	4.732	1.37E-03	1.52E-02	-1.439	Not significant
SLBP	-0.970	3.504	-4.721	1.39E-03	1.53E-02	-1.454	Not significant
ETFB	-0.708	4.599	-4.714	1.40E-03	1.54E-02	-1.464	Not significant
HYI	-0.616	4.155	-4.708	1.41E-03	1.55E-02	-1.473	Not significant
NAGK	0.676	5.195	4.687	1.45E-03	1.59E-02	-1.502	Not significant
SERPINB8	-0.541	5.323	-4.680	1.46E-03	1.60E-02	-1.512	Not significant
MB21D1	0.628	4.406	4.678	1.47E-03	1.60E-02	-1.516	Not significant
CASP2	-0.559	4.408	-4.669	1.49E-03	1.61E-02	-1.528	Not significant
HN1	-0.580	4.903	-4.671	1.48E-03	1.61E-02	-1.525	Not significant
CPM	0.538	5.202	4.661	1.50E-03	1.63E-02	-1.538	Not significant
BST2	0.577	4.522	4.657	1.51E-03	1.63E-02	-1.545	Not significant
NDUFA8	-0.547	5.369	-4.653	1.52E-03	1.64E-02	-1.550	Not significant
PPP2R5A	-0.570	4.109	-4.644	1.53E-03	1.65E-02	-1.563	Not significant
MRC2	-0.924	4.261	-4.644	1.53E-03	1.65E-02	-1.563	Not significant
LRCH1	0.543	4.905	4.623	1.58E-03	1.69E-02	-1.593	Not significant
SPTAN1	-0.530	4.743	-4.619	1.59E-03	1.70E-02	-1.599	Not significant
EAF1	0.553	4.089	4.615	1.60E-03	1.70E-02	-1.604	Not significant
UQCRH	-0.527	4.667	-4.613	1.60E-03	1.70E-02	-1.607	Not significant
CDCA2	-0.815	3.256	-4.606	1.61E-03	1.71E-02	-1.617	Not significant
MKNK1	0.612	4.893	4.599	1.63E-03	1.72E-02	-1.627	Not significant
CBX5	-0.578	5.063	-4.596	1.64E-03	1.72E-02	-1.632	Not significant
CD4	-0.636	3.997	-4.597	1.63E-03	1.72E-02	-1.630	Not significant
VAV1	0.537	4.992	4.591	1.65E-03	1.73E-02	-1.639	Not significant
TP53BP2	0.681	3.241	4.583	1.66E-03	1.73E-02	-1.650	Not significant
F13A1	-0.558	5.454	-4.584	1.66E-03	1.73E-02	-1.649	Not significant
GNG7	-0.616	3.985	-4.584	1.66E-03	1.73E-02	-1.648	Not significant
IRGQ	0.523	4.609	4.578	1.68E-03	1.74E-02	-1.658	Not significant
DCP1A	0.731	4.880	4.563	1.71E-03	1.76E-02	-1.680	Not significant
ALDOC	-0.522	4.652	-4.563	1.71E-03	1.76E-02	-1.679	Not significant
TCEB2	-0.522	6.049	-4.564	1.71E-03	1.76E-02	-1.677	Not significant
TMA7	-0.542	6.089	-4.564	1.71E-03	1.76E-02	-1.677	Not significant
NUDT1	-0.533	4.161	-4.558	1.72E-03	1.77E-02	-1.686	Not significant
TST	-0.516	3.763	-4.556	1.73E-03	1.77E-02	-1.689	Not significant
SMARCAD1	0.619	3.813	4.545	1.75E-03	1.78E-02	-1.705	Not significant
ATP6V1H	0.520	4.836	4.547	1.75E-03	1.78E-02	-1.702	Not significant
CD33	-0.542	5.191	-4.544	1.76E-03	1.78E-02	-1.707	Not significant
FN3KRP	-0.637	4.380	-4.544	1.76E-03	1.78E-02	-1.707	Not significant
VDAC2	0.545	5.333	4.539	1.77E-03	1.78E-02	-1.713	Not significant
OTUD4	0.528	4.115	4.539	1.77E-03	1.78E-02	-1.713	Not significant
VRK3	-0.520	4.350	-4.534	1.78E-03	1.79E-02	-1.721	Not significant
TOM1	0.558	4.602	4.526	1.80E-03	1.80E-02	-1.732	Not significant
NELFA	-0.528	4.517	-4.526	1.80E-03	1.80E-02	-1.732	Not significant
RNASE2	-0.541	3.692	-4.525	1.80E-03	1.80E-02	-1.734	Not significant
REXO2	-0.613	5.084	-4.515	1.82E-03	1.82E-02	-1.748	Not significant
LMNA	0.548	3.868	4.512	1.83E-03	1.82E-02	-1.752	Not significant
PRDX2	-0.591	5.181	-4.508	1.84E-03	1.83E-02	-1.759	Not significant
SIGLEC1	1.535	4.195	4.502	1.86E-03	1.84E-02	-1.767	Not significant
CD47	0.532	5.199	4.500	1.86E-03	1.84E-02	-1.770	Not significant
MCM3AP	0.515	3.615	4.483	1.91E-03	1.88E-02	-1.794	Not significant
CHMP2A	-0.514	4.854	-4.481	1.91E-03	1.88E-02	-1.797	Not significant
CCS	-0.552	4.692	-4.481	1.91E-03	1.88E-02	-1.797	Not significant
GPD2	0.504	4.837	4.478	1.92E-03	1.88E-02	-1.802	Not significant
IAH1	-0.699	4.744	-4.469	1.94E-03	1.90E-02	-1.814	Not significant
BLVRA	0.647	5.348	4.464	1.95E-03	1.91E-02	-1.821	Not significant
SNX2	0.522	5.213	4.463	1.96E-03	1.91E-02	-1.823	Not significant
TRIM25	0.596	5.189	4.457	1.97E-03	1.91E-02	-1.832	Not significant
ANAPC1	0.539	3.984	4.459	1.97E-03	1.91E-02	-1.828	Not significant
SARNP	-0.572	5.179	-4.456	1.98E-03	1.91E-02	-1.833	Not significant
SRPRA	0.532	4.962	4.452	1.99E-03	1.91E-02	-1.838	Not significant
MGAT1	0.525	4.029	4.453	1.98E-03	1.91E-02	-1.838	Not significant
MOB1B	0.646	5.255	4.445	2.01E-03	1.93E-02	-1.850	Not significant
CDKN2AIPNL	-0.527	3.779	-4.440	2.02E-03	1.94E-02	-1.857	Not significant
KDM3A	-0.618	3.979	-4.432	2.04E-03	1.95E-02	-1.869	Not significant
PLK1	-0.542	3.545	-4.416	2.09E-03	1.99E-02	-1.891	Not significant
DHFR	-0.508	4.968	-4.413	2.10E-03	1.99E-02	-1.896	Not significant
RAB7B	0.566	5.241	4.405	2.12E-03	2.01E-02	-1.907	Not significant
ANXA2	0.594	5.403	4.401	2.13E-03	2.01E-02	-1.913	Not significant
LPCAT4	-0.576	4.168	-4.402	2.13E-03	2.01E-02	-1.912	Not significant
CD63	0.869	5.529	4.399	2.14E-03	2.02E-02	-1.916	Not significant
SCARB2	0.634	4.866	4.389	2.17E-03	2.04E-02	-1.931	Not significant
PYM1	-0.508	4.706	-4.383	2.18E-03	2.05E-02	-1.939	Not significant
SPAG5	-0.674	3.676	-4.379	2.19E-03	2.06E-02	-1.945	Not significant
EEF2K	-0.658	4.615	-4.372	2.21E-03	2.07E-02	-1.955	Not significant
HMGB1	-0.517	5.720	-4.363	2.24E-03	2.09E-02	-1.969	Not significant
CLUH	0.579	4.475	4.359	2.25E-03	2.09E-02	-1.974	Not significant
SNX18	-0.558	3.553	-4.360	2.25E-03	2.09E-02	-1.973	Not significant
GHITM	-0.583	4.049	-4.358	2.26E-03	2.10E-02	-1.976	Not significant
ELP3	-0.592	4.421	-4.355	2.27E-03	2.10E-02	-1.980	Not significant
ACADM	-0.534	5.424	-4.352	2.28E-03	2.10E-02	-1.984	Not significant
RCL1	0.534	4.467	4.346	2.30E-03	2.12E-02	-1.994	Not significant
FAM20B	-0.633	3.587	-4.326	2.36E-03	2.17E-02	-2.023	Not significant
RRP36	0.555	4.223	4.323	2.37E-03	2.17E-02	-2.027	Not significant
LRMP	-0.506	4.130	-4.320	2.38E-03	2.18E-02	-2.032	Not significant
PHGDH	-0.487	4.924	-4.312	2.41E-03	2.20E-02	-2.043	Not significant
SNAP29	-0.494	4.425	-4.308	2.42E-03	2.21E-02	-2.049	Not significant
ASCC3	0.561	4.197	4.305	2.43E-03	2.21E-02	-2.053	Not significant
NT5C2	0.501	5.271	4.303	2.43E-03	2.21E-02	-2.056	Not significant
UBE2C	-0.658	4.314	-4.303	2.44E-03	2.21E-02	-2.056	Not significant
BIN1	0.508	4.766	4.301	2.44E-03	2.21E-02	-2.059	Not significant
CYP51A1	-0.625	5.043	-4.300	2.45E-03	2.21E-02	-2.062	Not significant
AIM1	0.487	3.609	4.295	2.46E-03	2.22E-02	-2.068	Not significant
UCHL3	-0.505	4.181	-4.293	2.47E-03	2.22E-02	-2.071	Not significant
TXLNA	0.491	4.962	4.289	2.48E-03	2.23E-02	-2.077	Not significant
GNA15	0.546	4.471	4.285	2.50E-03	2.23E-02	-2.083	Not significant
HEATR1	0.542	4.675	4.284	2.50E-03	2.23E-02	-2.085	Not significant
SIRT6	-0.537	4.442	-4.279	2.52E-03	2.24E-02	-2.091	Not significant
FAF1	-0.515	4.498	-4.274	2.53E-03	2.25E-02	-2.099	Not significant
PPIE	-0.517	4.819	-4.273	2.54E-03	2.25E-02	-2.101	Not significant
PTMA	-0.706	4.500	-4.268	2.56E-03	2.26E-02	-2.108	Not significant
NKX2-4	-0.608	3.945	-4.266	2.56E-03	2.26E-02	-2.110	Not significant
DIAPH2	0.594	4.745	4.265	2.57E-03	2.26E-02	-2.113	Not significant
SCLY	-0.571	4.655	-4.262	2.58E-03	2.27E-02	-2.116	Not significant
OGFR	0.496	4.232	4.260	2.58E-03	2.27E-02	-2.119	Not significant
RAPGEF1	0.498	3.231	4.253	2.61E-03	2.29E-02	-2.129	Not significant
SUMO3	-0.502	6.231	-4.242	2.65E-03	2.32E-02	-2.146	Not significant
UBXN7	-0.528	4.905	-4.239	2.66E-03	2.32E-02	-2.151	Not significant
CA2	-0.620	5.072	-4.238	2.67E-03	2.32E-02	-2.153	Not significant
PYGL	-0.524	5.062	-4.233	2.68E-03	2.33E-02	-2.160	Not significant
ABCA1	0.887	4.428	4.214	2.76E-03	2.38E-02	-2.188	Not significant
HPF1	-0.475	4.242	-4.217	2.75E-03	2.38E-02	-2.184	Not significant
AARS	-0.482	5.142	-4.215	2.75E-03	2.38E-02	-2.186	Not significant
PRIM2	-0.510	4.677	-4.213	2.76E-03	2.38E-02	-2.189	Not significant
PHLDB1	0.693	3.900	4.210	2.77E-03	2.38E-02	-2.193	Not significant
FLNB	-0.478	4.689	-4.210	2.77E-03	2.38E-02	-2.194	Not significant
TRAF2	-0.502	4.645	-4.197	2.82E-03	2.41E-02	-2.213	Not significant
CBX3	-0.520	5.022	-4.197	2.82E-03	2.41E-02	-2.213	Not significant
HEBP2	-0.634	5.322	-4.195	2.83E-03	2.42E-02	-2.216	Not significant
NOLC1	-0.507	5.022	-4.193	2.84E-03	2.42E-02	-2.218	Not significant
BCL2L13	0.595	4.643	4.183	2.88E-03	2.42E-02	-2.234	Not significant
SERF2	-0.475	5.551	-4.189	2.85E-03	2.42E-02	-2.225	Not significant
YWHAB	-0.493	5.053	-4.185	2.87E-03	2.42E-02	-2.230	Not significant
